model,task_family,capability,cot_state,n,mean_delta,abs_mean_delta,ci_low_2.5,ci_high_97.5
Qwen3-0.6B-Base,KB,KP,no_cot,25,0.4935569710078693,0.6913796104533332,0.17674903109916268,0.8844652211369147
Qwen3-0.6B-Base,KB,KD,no_cot,25,1.4400174519217441,1.4400174519217441,0.9004562230065998,2.1121737436164607
Qwen3-0.6B-Base,KB,KB,no_cot,25,0.16898879594107463,0.7732551099906365,-0.24208991665554544,0.701529544126739
Qwen3-0.6B-Base,KB,KP,with_cot,25,0.9187146430982365,1.0251884442342534,0.5010227261455109,1.421213816798824
Qwen3-0.6B-Base,KB,KD,with_cot,25,0.963541146221615,0.9825842816659383,0.5770815652387837,1.437098916267231
Qwen3-0.6B-Base,KB,KB,with_cot,25,0.1385031092621031,0.5977488536643131,-0.20868495572211132,0.5503054954815744
Qwen3-0.6B-Base,RB,RP,no_cot,25,0.16331888989944546,0.5172938000650278,-0.09687894622152225,0.42922800067468486
Qwen3-0.6B-Base,RB,RB,no_cot,25,-0.0709427270931857,0.1592351350826876,-0.1663476792717619,0.01766290525577603
Qwen3-0.6B-Base,RB,RD,no_cot,25,0.5268711919993873,0.6635366920044734,0.3067848631246458,0.7298545256282778
Qwen3-0.6B-Base,RB,RP,with_cot,25,-0.3447568178549409,0.4235681289806962,-0.5280344456707438,-0.182920202932631
Qwen3-0.6B-Base,RB,RB,with_cot,25,-0.1388768819080932,0.2830367675530059,-0.2874179021137811,0.0018191678571913266
Qwen3-0.6B-Base,RB,RD,with_cot,25,0.1210686582690548,0.47641320331554327,-0.10910494065674997,0.34097698831757783
Qwen3-0.6B-Base,Hybrid,CP,no_cot,25,1.991115596860647,1.991115596860647,1.5438398236975075,2.458440677269548
Qwen3-0.6B-Base,Hybrid,CB,no_cot,25,0.8012466738124688,1.0418108668426673,0.3588700234467785,1.2963875031322238
Qwen3-0.6B-Base,Hybrid,CB-control,no_cot,25,-0.19068480722109474,0.4429879217147827,-0.4143102506746848,0.0226407488117614
Qwen3-0.6B-Base,Hybrid,CD,no_cot,25,1.5876460101008414,1.5964117850661277,1.1379117535839478,2.068864903007944
Qwen3-0.6B-Base,Hybrid,CP,with_cot,25,1.5340931691229343,1.576259852796793,1.0773438883908093,2.0391013686445847
Qwen3-0.6B-Base,Hybrid,CB,with_cot,25,0.786450842599074,0.9662003675897916,0.3353471865698695,1.3077788382574915
Qwen3-0.6B-Base,Hybrid,CB-control,with_cot,25,-0.23020442787806192,0.5077188414732615,-0.48200873347719514,0.032131199355920036
Qwen3-0.6B-Base,Hybrid,CD,with_cot,25,1.0856506477793058,1.1352971826990446,0.6439943221683303,1.5970695606693626
Qwen3-0.6B,KB,KP,no_cot,25,-0.5271606710664595,0.6233180759169182,-0.7415602366669453,-0.3027847764982215
Qwen3-0.6B,KB,KD,no_cot,25,-0.295865319255551,0.5693786746927515,-0.6847263165585461,0.023165054494423326
Qwen3-0.6B,KB,KB,no_cot,25,-0.027419325125913687,0.39134608970695584,-0.3271511181387447,0.20437820837653878
Qwen3-0.6B,KB,KP,with_cot,25,-0.23805683506138262,0.38158543732035016,-0.4415607432116165,-0.04877195976321996
Qwen3-0.6B,KB,KD,with_cot,25,-0.33873149063735314,0.5742568366166115,-0.7736192961548786,-0.012195678147021731
Qwen3-0.6B,KB,KB,with_cot,25,-0.1036250430283447,0.4730412196250012,-0.5670032636241676,0.20966762502091776
Qwen3-0.6B,RB,RP,no_cot,25,-0.6843469902376333,0.9620693298677603,-1.0066690294075136,-0.33442221724490334
Qwen3-0.6B,RB,RB,no_cot,25,0.2161782911304561,0.6728742975111873,-0.1425882380940021,0.5903066909792168
Qwen3-0.6B,RB,RD,no_cot,25,-0.9284008258596685,1.1703049248472477,-1.4179595233496125,-0.45956044228277965
Qwen3-0.6B,RB,RP,with_cot,25,-0.4821772235379156,0.7735027946970825,-0.7619857795720343,-0.17422199777167827
Qwen3-0.6B,RB,RB,with_cot,25,0.20830541770461766,0.6804379941851255,-0.16122957035690724,0.5895179276675251
Qwen3-0.6B,RB,RD,with_cot,25,-0.6006123582773752,1.0614558005584627,-1.1382199371680035,-0.10063305413406484
Qwen3-0.6B,Hybrid,CP,no_cot,25,0.18787625715384876,0.5038288663600882,-0.054809333313101276,0.42509374156594254
Qwen3-0.6B,Hybrid,CB,no_cot,25,-0.17144222508890863,0.6201588093884445,-0.45500716803316615,0.11019530505728313
Qwen3-0.6B,Hybrid,CB-control,no_cot,25,-0.46649921910868336,0.7486417370199535,-0.8857993704903251,-0.08549878708038802
Qwen3-0.6B,Hybrid,CD,no_cot,25,-0.3172582984765371,0.6633164946747323,-0.7531335994205127,0.04822500337660306
Qwen3-0.6B,Hybrid,CP,with_cot,25,0.14584759449136128,0.7330011397120544,-0.2684323261520089,0.517498052533902
Qwen3-0.6B,Hybrid,CB,with_cot,25,0.013542360257376807,0.6759667080504392,-0.3126024559295731,0.3603758254679418
Qwen3-0.6B,Hybrid,CB-control,with_cot,25,-0.18816843238441894,0.6501629107547923,-0.5452406707008058,0.16534532863697185
Qwen3-0.6B,Hybrid,CD,with_cot,25,-0.19713374650788798,0.5647373310097804,-0.5626442006648829,0.10701615150501022
Qwen3-1.7B-Base,KB,KP,no_cot,25,0.4548078728652603,0.5258722713290758,0.26997701093481097,0.6482198260684363
Qwen3-1.7B-Base,KB,KD,no_cot,25,0.3823310914248051,0.490941117524125,0.18623190086595937,0.5911447869819898
Qwen3-1.7B-Base,KB,KB,no_cot,25,0.0042082965453820445,0.6508218538780653,-0.3750981484276243,0.48030789733443935
Qwen3-1.7B-Base,KB,KP,with_cot,25,0.18288056574555647,0.39379619312328507,0.0010082829882701266,0.3720677340052063
Qwen3-1.7B-Base,KB,KD,with_cot,25,0.0778437078752156,0.45027570566455166,-0.14773707891087312,0.31217606335284764
Qwen3-1.7B-Base,KB,KB,with_cot,25,0.1270380897972556,0.5912589793971607,-0.17180073505267937,0.44154839925398787
Qwen3-1.7B-Base,RB,RP,no_cot,25,-0.37394713333674845,0.48334494686552454,-0.6158048437486535,-0.15514818350216822
