model,repair_axis,endpoint,metric,target_repair_fraction,fixed_tau_saturating_absolute_error,nearest_q10_absolute_error,log_linear_absolute_error,raw_linear_absolute_error
Qwen/Qwen3-4B,FMT,Clean,bits_per_byte,0.2,0.015350526091981287,0.01807150707981031,0.009669679207675363,0.009726713235277185
Qwen/Qwen3-4B,FMT,Clean,mean_per_item_nll,0.2,0.027848072032203852,0.03294238780104841,0.01733096286160629,0.017438422112965313
Qwen/Qwen3-4B,FMT,EVD,bits_per_byte,0.2,0.015330214067607706,0.01839755229347828,0.008267398815232418,0.008349799452153972
Qwen/Qwen3-4B,FMT,EVD,mean_per_item_nll,0.2,0.027763959825328755,0.03331612522803162,0.01545066762892544,0.015591810867201517
Qwen/Qwen3-4B,FMT,FMT,bits_per_byte,0.2,0.04989836225834998,0.03520854997913658,0.05928302145979725,0.07087841975786491
Qwen/Qwen3-4B,FMT,FMT,mean_per_item_nll,0.2,0.10330027360018623,0.05605077842927564,0.1044310317615389,0.1250901441975667
Qwen/Qwen3-4B,FMT,PARA,bits_per_byte,0.2,0.013126859466267682,0.016231373246746283,0.004059393907726694,0.00417341620895062
Qwen/Qwen3-4B,FMT,PARA,mean_per_item_nll,0.2,0.023791877626512914,0.0301892204022014,0.00677692295823773,0.007007879886381296
Qwen/Qwen3-4B,PARA,ANS,bits_per_byte,0.2,0.0017184158119559756,0.0019078797112979107,0.002379866851009216,0.0023821891717981103
Qwen/Qwen3-4B,PARA,ANS,mean_per_item_nll,0.2,0.007444469219293648,0.008265259017085747,0.010309987486782024,0.010320048174952134
Qwen/Qwen3-4B,PARA,Clean,bits_per_byte,0.2,0.0044954511691703836,0.0027384439903013202,0.002551742419846903,0.002528063443959727
Qwen/Qwen3-4B,PARA,Clean,mean_per_item_nll,0.2,0.008310007779307682,0.005123917403804246,0.004831662411716842,0.004787462775596385
Qwen/Qwen3-4B,PARA,EVD,bits_per_byte,0.2,0.006017511712782975,0.0048283766929460015,0.005466730278862242,0.005447880684890327
Qwen/Qwen3-4B,PARA,EVD,mean_per_item_nll,0.2,0.01114387261585037,0.008993500116943665,0.010312115526248888,0.010276205935306315
Qwen/Qwen3-4B,PARA,FMT,bits_per_byte,0.2,0.00014988026075213323,9.345339226651816e-05,0.0006790266458749361,0.0006857190204772046
Qwen/Qwen3-4B,PARA,FMT,mean_per_item_nll,0.2,0.002669908704576729,0.0020661067871872163,0.003433886109936557,0.0034465988287839533
Qwen/Qwen3-4B,PARA,PARA,bits_per_byte,0.2,0.005520015645087639,0.0034847951725649473,0.00460170183297004,0.004587101641864155
Qwen/Qwen3-4B,PARA,PARA,mean_per_item_nll,0.2,0.010138007852206421,0.006394299997666941,0.008720239916436778,0.008693290691832445
Qwen/Qwen3-8B,ANS,ANS,bits_per_byte,0.2,0.045370899393046504,0.0665373498077988,0.002638161688508056,0.009057142903430626
Qwen/Qwen3-8B,ANS,ANS,bits_per_byte,0.4,0.10989356785406157,0.14289152477801337,0.04523244589472608,0.08389195335567518
Qwen/Qwen3-8B,ANS,ANS,bits_per_byte,0.8,0.15669132971708133,0.1914892799582425,0.17296807188613622,0.337672169020364
Qwen/Qwen3-8B,ANS,ANS,mean_per_item_nll,0.2,0.19655444371099495,0.2882511026325414,0.011428964601565283,0.03923708167150863
Qwen/Qwen3-8B,ANS,ANS,mean_per_item_nll,0.4,0.47607760449822356,0.6190303595361972,0.19595463963599657,0.3634341933759533
Qwen/Qwen3-8B,ANS,ANS,mean_per_item_nll,0.8,0.6788134588223982,0.8295640906906865,0.7493270709672817,1.462853199437665
Qwen/Qwen3-8B,ANS,Clean,bits_per_byte,0.2,0.0038975125877180883,0.007447427620662639,0.006181738135349724,0.006343129745738585
Qwen/Qwen3-8B,ANS,Clean,bits_per_byte,0.4,0.004798734969496232,0.000889304870425045,0.03945444519102237,0.04048236722877885
Qwen/Qwen3-8B,ANS,Clean,bits_per_byte,0.8,0.014291995505376853,0.008275834575443897,0.0999434262917519,0.10480973614025313
Qwen/Qwen3-8B,ANS,Clean,mean_per_item_nll,0.2,0.007284403959688435,0.013881187711907828,0.011360255528014784,0.011663275412906904
Qwen/Qwen3-8B,ANS,Clean,mean_per_item_nll,0.4,0.008733274218323261,0.0018309465457289065,0.07287274326995896,0.07480244282871507
Qwen/Qwen3-8B,ANS,Clean,mean_per_item_nll,0.8,0.026242474075295563,0.015069413544813948,0.1847477258878618,0.19388065541851662
Qwen/Qwen3-8B,ANS,EVD,bits_per_byte,0.2,0.0061832862949282585,0.010288731393827577,0.008618898044772783,0.008926390510693993
Qwen/Qwen3-8B,ANS,EVD,bits_per_byte,0.4,0.0005820307937589586,0.006209382744006842,0.049483855911373276,0.05143598296955765
Qwen/Qwen3-8B,ANS,EVD,bits_per_byte,0.8,0.014932600943722951,0.007729103278319993,0.13305198758596792,0.14223495660997065
Qwen/Qwen3-8B,ANS,EVD,mean_per_item_nll,0.2,0.011367142283707166,0.018970031337945725,0.015814908545342954,0.016385615805383003
Qwen/Qwen3-8B,ANS,EVD,mean_per_item_nll,0.4,0.0009543395518838427,0.011607062656622702,0.09083713991919096,0.09445987877336326
Qwen/Qwen3-8B,ANS,EVD,mean_per_item_nll,0.8,0.027447331080352688,0.01412520359479319,0.24457690166338408,0.26161473359809384
Qwen/Qwen3-8B,ANS,FMT,bits_per_byte,0.2,0.0011057707102939407,0.004544733220489761,0.004210212972152183,0.00429054610301538
Qwen/Qwen3-8B,ANS,FMT,bits_per_byte,0.4,0.005938348977665431,0.000729783033485587,0.026723152188368182,0.027235621004001453
