stage,domain,model,arm,seed,group,metric,value,checkpoint_sha256,source
volume3968,Math,Qwen/Qwen3-0.6B,clean,71,PARA,bpb,2.0976805247517953,6624b3f0436bf1df009d9d914255ee90c5e0eb891fa306ad8f13982cb5929042,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node1/volume-mm-v1-qwen3-06b-n3968-clean-s71/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,Clean,gen,0.4934,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,Clean,nll,3.771707475879329,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,Clean,bpb,2.0614717069187805,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,FMT,gen,0.017,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,FMT,nll,1.5203628839111645,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,FMT,bpb,0.8856760497374007,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,ANS,gen,0.1847,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,ANS,nll,5.444632048808398,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,ANS,bpb,1.2567909850049586,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,EVD,gen,0.4197,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,EVD,nll,3.7612665985469538,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,EVD,bpb,2.0560243524766886,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,PARA,gen,0.4,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,PARA,nll,3.822305799357789,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,72,PARA,bpb,2.0972773720173232,3000e60900d42de7ac5583f8648577725c5b7548d9f1d97d8077ca99974c55ba,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node3/volume-mm-v1-qwen3-06b-n3968-clean-s72/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,Clean,gen,0.4915,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,Clean,nll,3.76668511981874,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,Clean,bpb,2.05878304564889,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,FMT,gen,0.0151,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,FMT,nll,1.5183378750431789,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,FMT,bpb,0.884637742826832,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,ANS,gen,0.1606,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
volume3968,Math,Qwen/Qwen3-0.6B,clean,73,ANS,nll,5.448097075298279,e3013d05107ec62f4103fa39d058378dff5cd31d7312b74a08c55a873e1fdc36,/mnt/hdfs/xwqu/five_component_multimodel_volume_validation_v1/batch01_qwen06_mistral_n3968/results/node4/volume-mm-v1-qwen3-06b-n3968-clean-s73/CALIBRATION_RESULT_BUNDLE.json
